response_id,collection_date,urban_rural,education,income,Vote_Now,Past_Vote,CM_satisfaction,MLA_satisfaction,age,gender,assembly_no,category,weight
24,5-24-2017,Urban,12th Pass,"₹ 5,000 - ₹ 10,000",BJP,LJP,Somewhat Satisfied,Fully Dissatisfied,38,Male,178,Gen,0.382603031
25,5-24-2017,Rural,12th Pass,"₹ 50,000 - ₹ 80,000",Others,BJP,Fully Dissatisfied,Can’t say,19,Male,193,Gen,0.247091304
26,5-24-2017,Urban,Post - Graduation,"BPL/Below ₹ 5,000",RJD,BJP,Fully Dissatisfied,Fully Dissatisfied,39,Male,181,SC,2.551173856
27,5-24-2017,Rural,Graduate,"₹ 10,000 - ₹ 20,000",BJP,Did not vote,Fully Dissatisfied,Somewhat Satisfied,22,Male,199,Gen,0.226477425
28,5-24-2017,Rural,Graduate,"₹ 10,000 - ₹ 20,000",RJD,BJP,Fully Dissatisfied,Fully Satisfied,25,Male,179,Gen,0.247091304
29,5-24-2017,Rural,Graduate,"₹ 20,000 - ₹ 30,000",JD(U),BJP,Fully Satisfied,Fully Satisfied,44,Male,205,BC,1.337935162
30,5-24-2017,Urban,Professional Education,"₹ 1,50,000 & above",JD(U),JD(U),Somewhat Dissatisfied,Fully Dissatisfied,26,Male,172,BC,0.405707907
31,5-24-2017,Urban,Graduate,"₹ 30,000 - ₹ 50,000",NOTA,NOTA,Fully Dissatisfied,Fully Dissatisfied,44,Male,183,Gen,1.344773103
32,5-24-2017,Rural,Post - Graduation,"BPL/Below ₹ 5,000",NOTA,Did not vote,Can’t say,Can’t say,23,Male,209,BC,0.109726932
33,5-24-2017,Rural,Graduate,"₹ 10,000 - ₹ 20,000",BJP,BJP,Fully Dissatisfied,Fully Dissatisfied,30,Male,190,BC,0.521282623
34,5-24-2017,Urban,Graduate,"₹ 50,000 - ₹ 80,000",BJP,BJP,Fully Satisfied,Somewhat Dissatisfied,53,Male,188,Gen,1.936194678
35,5-24-2017,Rural,Graduate,"₹ 10,000 - ₹ 20,000",RJD,Did not vote,Fully Dissatisfied,Fully Dissatisfied,25,Male,188,EBC,0.96757794
36,5-24-2017,Urban,Graduate,"₹ 10,000 - ₹ 20,000",BJP,BJP,Fully Dissatisfied,Fully Dissatisfied,34,Male,173,Gen,0.181241919
37,5-24-2017,Urban,Graduate,"₹ 10,000 - ₹ 20,000",BJP,BJP,Somewhat Satisfied,Fully Dissatisfied,26,Male,208,Gen,0.275508747
38,5-24-2017,Rural,Graduate,"₹ 1,50,000 & above",RJD,RJD,Fully Dissatisfied,Fully Dissatisfied,30,Male,203,BC,0.713058738
39,5-24-2017,Urban,Graduate,"BPL/Below ₹ 5,000",RJD,RJD,Can’t say,Can’t say,22,Male,181,SC,1.596986701
40,5-24-2017,Rural,Graduate,"BPL/Below ₹ 5,000",RJD,RJD,Fully Dissatisfied,Somewhat Satisfied,32,Male,194,BC,4.234598494
41,5-24-2017,Rural,Graduate,"₹ 5,000 - ₹ 10,000",BJP,JD(U),Somewhat Satisfied,Somewhat Satisfied,21,Male,207,Gen,0.226477425
42,5-24-2017,Rural,Post - Graduation,"₹ 80,000 - ₹ 1,50,000",BJP,BJP,Fully Satisfied,Can’t say,32,Male,200,Gen,0.278123491
43,5-24-2017,Urban,Post - Graduation,"BPL/Below ₹ 5,000",BJP,BJP,Fully Dissatisfied,Can’t say,29,Male,184,BC,0.049291083
44,5-24-2017,Rural,Graduate,"₹ 10,000 - ₹ 20,000",BJP,JD(U),Fully Dissatisfied,Can’t say,25,Male,208,Gen,0.247091304
45,5-24-2017,Rural,Graduate,"BPL/Below ₹ 5,000",RLSP,JD(U),Fully Dissatisfied,Fully Dissatisfied,26,Male,180,BC,0.936383148
46,5-24-2017,Rural,Graduate,"BPL/Below ₹ 5,000",Plurals,BJP,Somewhat Satisfied,Fully Dissatisfied,18,Male,209,BC,0.42851179
47,5-24-2017,Urban,8th Pass,"BPL/Below ₹ 5,000",BJP,BJP,Somewhat Satisfied,Fully Satisfied,30,Male,208,BC,0.66506573
48,5-24-2017,Urban,Graduate,"BPL/Below ₹ 5,000",RJD,RJD,Fully Dissatisfied,Fully Dissatisfied,20,Male,172,BC,1.18883783
49,5-24-2017,Urban,Graduate,"₹ 30,000 - ₹ 50,000",NOTA,BJP,Somewhat Satisfied,Somewhat Dissatisfied,20,Male,184,BC,0.15798405
50,5-24-2017,Rural,Graduate,"₹ 80,000 - ₹ 1,50,000",BJP,BJP,Fully Dissatisfied,Fully Dissatisfied,24,Male,198,Gen,0.226477425
51,5-24-2017,Rural,Graduate,"₹ 5,000 - ₹ 10,000",RJD,JD(U),Somewhat Satisfied,Fully Dissatisfied,27,Male,188,EBC,1.446215757
52,5-24-2017,Urban,Graduate,"₹ 5,000 - ₹ 10,000",Undecided,BJP,Fully Dissatisfied,Can’t say,37,Male,186,Gen,0.181241919
53,5-24-2017,Rural,12th Pass,"BPL/Below ₹ 5,000",BJP,BJP,Fully Dissatisfied,Fully Dissatisfied,32,Male,194,Gen,0.300585436
54,5-24-2017,Urban,Illiterate,"₹ 10,000 - ₹ 20,000",INC,JD(U),Somewhat Satisfied,Fully Dissatisfied,36,Male,181,Gen,0.318919351
55,5-24-2017,Urban,Graduate,"₹ 1,50,000 & above",RJD,BJP,Fully Dissatisfied,Somewhat Satisfied,30,Male,194,Gen,0.275508747
56,5-24-2017,Rural,Graduate,"BPL/Below ₹ 5,000",BJP,BJP,Fully Dissatisfied,Fully Dissatisfied,21,Male,199,Gen,0.226477425
57,5-24-2017,Rural,Graduate,"₹ 30,000 - ₹ 50,000",BJP,BJP,Somewhat Satisfied,Fully Dissatisfied,26,Male,185,Gen,0.275508747
58,5-24-2017,Rural,10th Pass,"₹ 80,000 - ₹ 1,50,000",BJP,JD(U),Fully Satisfied,Somewhat Satisfied,38,Male,211,BC,1.403958676
59,5-24-2017,Rural,Graduate,"₹ 10,000 - ₹ 20,000",RJD,BJP,Somewhat Satisfied,Fully Dissatisfied,29,Male,199,Gen,0.275508747
60,5-24-2017,Rural,12th Pass,"₹ 5,000 - ₹ 10,000",JD(U),JD(U),Fully Satisfied,Fully Dissatisfied,48,Male,171,BC,2.824391024
61,5-24-2017,Rural,Graduate,"₹ 30,000 - ₹ 50,000",BJP,BJP,Fully Dissatisfied,Fully Dissatisfied,27,Male,195,Gen,0.275508747
62,5-24-2017,Urban,Graduate,"₹ 5,000 - ₹ 10,000",RJD,Did not vote,Fully Dissatisfied,Fully Dissatisfied,28,Male,184,BC,0.650359639
63,5-24-2017,Rural,Graduate,"BPL/Below ₹ 5,000",NOTA,BJP,Fully Dissatisfied,Fully Dissatisfied,24,Male,199,EBC,0.31072539
64,5-24-2017,Urban,Professional Education,"BPL/Below ₹ 5,000",BJP,Did not vote,Somewhat Satisfied,Somewhat Satisfied,22,Male,182,EBC,1.27061577
65,5-24-2017,Rural,Graduate,"₹ 50,000 - ₹ 80,000",RJJP,BJP,Fully Dissatisfied,Fully Dissatisfied,25,Male,190,Gen,0.148986932
66,5-24-2017,Urban,Graduate,"BPL/Below ₹ 5,000",BJP,BJP,Somewhat Dissatisfied,Fully Dissatisfied,26,Male,213,EBC,1.185557814
67,5-24-2017,Urban,Post - Graduation,"₹ 1,50,000 & above",INC,BJP,Fully Dissatisfied,Fully Dissatisfied,45,Male,204,Gen,1.261740378
68,5-24-2017,Urban,12th Pass,"₹ 5,000 - ₹ 10,000",JD(U),Did not vote,Somewhat Satisfied,Fully Dissatisfied,24,Male,184,SC,2.427588452
69,5-24-2017,Rural,Graduate,"₹ 80,000 - ₹ 1,50,000",RLSP,JD(U),Somewhat Satisfied,Fully Dissatisfied,25,Male,209,BC,0.42851179
70,5-24-2017,Rural,Graduate,"₹ 30,000 - ₹ 50,000",RJD,INC,Fully Dissatisfied,Fully Satisfied,74,Male,192,ST,1.80590289
71,5-24-2017,Rural,Graduate,"₹ 5,000 - ₹ 10,000",JD(U),LJP,Fully Satisfied,Fully Dissatisfied,26,Male,178,EBC,1.797453377
72,5-24-2017,Rural,Graduate,"₹ 10,000 - ₹ 20,000",RJD,BJP,Fully Dissatisfied,Fully Dissatisfied,27,Male,203,BC,0.936383148
73,5-24-2017,Urban,Post - Graduation,"₹ 80,000 - ₹ 1,50,000",JAP(L),NOTA,Somewhat Satisfied,Fully Dissatisfied,35,Male,183,Gen,0.181241919
74,5-24-2017,Rural,Post - Graduation,"₹ 10,000 - ₹ 20,000",BJP,BJP,Somewhat Satisfied,Fully Dissatisfied,31,Male,199,Gen,0.300585436
75,5-24-2017,Urban,Graduate,"₹ 30,000 - ₹ 50,000",BJP,BJP,Somewhat Dissatisfied,Somewhat Satisfied,70,Male,183,BC,0.343146606
76,5-24-2017,Rural,Graduate,"₹ 5,000 - ₹ 10,000",JD(U),VIP,Fully Satisfied,Fully Satisfied,18,Male,175,BC,0.333505499
77,5-24-2017,Urban,Post - Graduation,"₹ 50,000 - ₹ 80,000",BJP,BJP,Fully Satisfied,Can’t say,36,Male,181,Gen,0.181241919
78,5-24-2017,Rural,Graduate,"₹ 1,50,000 & above",BJP,BJP,Fully Dissatisfied,Fully Dissatisfied,40,Male,192,Gen,0.300585436
79,5-24-2017,Urban,Post - Graduation,"₹ 80,000 - ₹ 1,50,000",NOTA,JD(U),Somewhat Satisfied,Fully Dissatisfied,49,Male,194,Gen,1.91799178
80,5-24-2017,Rural,Graduate,"₹ 10,000 - ₹ 20,000",RJD,BJP,Fully Dissatisfied,Fully Dissatisfied,39,Male,203,BC,0.275508747
81,5-24-2017,Rural,Post - Graduation,"₹ 1,50,000 & above",JD(U),JD(U),Fully Satisfied,Fully Satisfied,45,Male,171,BC,2.824391024
82,5-24-2017,Urban,Post - Graduation,"₹ 10,000 - ₹ 20,000",JD(U),BJP,Somewhat Satisfied,Fully Dissatisfied,42,Male,188,Gen,1.91799178
83,5-24-2017,Rural,Professional Education,"₹ 30,000 - ₹ 50,000",JD(U),JD(U),Fully Satisfied,Somewhat Satisfied,32,Male,174,BC,0.192186871
84,5-24-2017,Urban,Illiterate,"₹ 20,000 - ₹ 30,000",BJP,BJP,Fully Dissatisfied,Somewhat Satisfied,46,Male,184,Gen,1.91799178
85,5-24-2017,Urban,Graduate,"₹ 30,000 - ₹ 50,000",BJP,BJP,Fully Dissatisfied,Somewhat Satisfied,53,Male,183,Gen,2.092566579
86,5-24-2017,Rural,12th Pass,"BPL/Below ₹ 5,000",RJD,RJD,Fully Dissatisfied,Somewhat Satisfied,22,Male,187,BC,0.586158184
87,5-24-2017,Urban,Graduate,"₹ 10,000 - ₹ 20,000",Plurals,BJP,Fully Dissatisfied,Somewhat Satisfied,28,Male,183,EBC,1.545698246
88,5-24-2017,Urban,Post - Graduation,"₹ 10,000 - ₹ 20,000",BJP,JD(U),Somewhat Satisfied,Somewhat Satisfied,38,Male,173,EBC,3.26298043
89,5-24-2017,Rural,8th Pass,"₹ 5,000 - ₹ 10,000",BSP,Did not vote,Somewhat Satisfied,Somewhat Satisfied,24,Male,206,BC,0.688509096
90,5-24-2017,Urban,Professional Education,"₹ 10,000 - ₹ 20,000",NOTA,BJP,Fully Dissatisfied,Somewhat Satisfied,27,Male,194,Gen,0.275508747
91,5-24-2017,Rural,Graduate,"₹ 80,000 - ₹ 1,50,000",JD(U),Did not vote,Fully Satisfied,Can’t say,22,Male,171,BC,0.333505499
92,5-24-2017,Rural,Graduate,"BPL/Below ₹ 5,000",RJD,RJD,Fully Dissatisfied,Somewhat Satisfied,26,Male,199,BC,0.713058738
93,5-24-2017,Rural,Graduate,"₹ 50,000 - ₹ 80,000",BJP,Did not vote,Somewhat Satisfied,Fully Dissatisfied,22,Male,198,Gen,0.226477425
94,5-24-2017,Rural,Graduate,"₹ 5,000 - ₹ 10,000",RJJP,NOTA,Fully Dissatisfied,Fully Dissatisfied,21,Female,187,Gen,0.103478034
95,5-24-2017,Rural,Post - Graduation,"₹ 5,000 - ₹ 10,000",BJP,BJP,Somewhat Dissatisfied,Somewhat Satisfied,42,Male,199,Gen,1.91799178
96,5-24-2017,Urban,Graduate,"BPL/Below ₹ 5,000",BJP,BJP,Fully Dissatisfied,Fully Dissatisfied,25,Male,181,EBC,1.27061577
97,5-24-2017,Urban,Professional Education,"₹ 1,50,000 & above",JAP(L),BJP,Fully Dissatisfied,Fully Dissatisfied,43,Male,181,Gen,1.936194678
98,5-24-2017,Urban,Graduate,"₹ 20,000 - ₹ 30,000",NOTA,NOTA,Somewhat Satisfied,Fully Dissatisfied,23,Male,186,Gen,0.157298619
99,5-24-2017,Rural,12th Pass,"₹ 30,000 - ₹ 50,000",JD(U),JD(U),Fully Satisfied,Somewhat Satisfied,40,Male,174,BC,0.192186871
100,5-24-2017,Rural,Post - Graduation,"₹ 5,000 - ₹ 10,000",AAP,RJD,Fully Dissatisfied,Somewhat Satisfied,28,Male,175,EBC,2.300415128
101,5-24-2017,Urban,Graduate,"₹ 30,000 - ₹ 50,000",INC,RJD,Somewhat Satisfied,Fully Dissatisfied,45,Male,194,EBC,2.631470858
102,5-24-2017,Rural,Graduate,"₹ 5,000 - ₹ 10,000",BJP,BJP,Somewhat Satisfied,Fully Dissatisfied,27,Male,201,Gen,0.275508747
103,5-24-2017,Rural,Graduate,"₹ 10,000 - ₹ 20,000",JD(U),JD(U),Fully Satisfied,Somewhat Dissatisfied,20,Male,173,BC,0.333505499
104,5-24-2017,Rural,Graduate,"₹ 10,000 - ₹ 20,000",BJP,BJP,Somewhat Satisfied,Can’t say,23,Male,206,BC,0.046903296
105,5-24-2017,Rural,Post - Graduation,"₹ 20,000 - ₹ 30,000",RJD,BJP,Fully Dissatisfied,Somewhat Satisfied,35,Male,210,Gen,0.275508747
106,5-24-2017,Rural,Graduate,"₹ 20,000 - ₹ 30,000",JD(U),BJP,Fully Satisfied,Somewhat Satisfied,32,Male,201,Gen,0.275508747
107,5-24-2017,Rural,Graduate,"₹ 1,50,000 & above",BJP,BJP,Somewhat Satisfied,Fully Dissatisfied,35,Male,177,BC,0.405707907
108,5-24-2017,Urban,12th Pass,"₹ 5,000 - ₹ 10,000",RJD,Did not vote,Somewhat Dissatisfied,Fully Dissatisfied,19,Male,197,Gen,0.113454022
109,5-24-2017,Urban,Post - Graduation,"₹ 5,000 - ₹ 10,000",Undecided,JD(U),Somewhat Satisfied,Fully Satisfied,40,Male,188,SC,2.551173856
110,5-24-2017,Rural,Post - Graduation,"₹ 10,000 - ₹ 20,000",BJP,Did not vote,Somewhat Satisfied,Fully Dissatisfied,24,Male,202,BC,0.539657678
111,5-24-2017,Urban,Post - Graduation,"₹ 1,50,000 & above",RJD,RJD,Fully Dissatisfied,Fully Dissatisfied,31,Male,186,BC,0.713058738
112,5-24-2017,Urban,12th Pass,"₹ 5,000 - ₹ 10,000",Undecided,BJP,Somewhat Satisfied,Fully Dissatisfied,41,Male,172,BC,1.337935162
113,5-24-2017,Urban,12th Pass,"₹ 10,000 - ₹ 20,000",BJP,BJP,Fully Satisfied,Fully Satisfied,31,Male,186,BC,0.936383148
114,5-24-2017,Urban,Graduate,"₹ 10,000 - ₹ 20,000",RJD,Did not vote,Can’t say,Can’t say,20,Male,172,BC,0.769738335
115,5-24-2017,Urban,12th Pass,"BPL/Below ₹ 5,000",Plurals,BJP,Somewhat Satisfied,Somewhat Satisfied,24,Male,191,Gen,0.148986932
116,5-24-2017,Urban,Professional Education,"₹ 1,50,000 & above",BJP,BJP,Somewhat Satisfied,Fully Dissatisfied,40,Male,186,BC,0.521282623
117,5-24-2017,Rural,12th Pass,"BPL/Below ₹ 5,000",INC,INC,Fully Dissatisfied,Fully Dissatisfied,30,Male,178,Gen,0.209799347
118,5-24-2017,Rural,10th Pass,"₹ 5,000 - ₹ 10,000",Undecided,BJP,Somewhat Satisfied,Fully Dissatisfied,33,Male,187,Gen,0.181241919
119,5-24-2017,Rural,8th Pass,"BPL/Below ₹ 5,000",JD(U),JD(U),Fully Satisfied,Fully Dissatisfied,26,Male,177,EBC,3.020887124
120,5-24-2017,Rural,Professional Education,"₹ 20,000 - ₹ 30,000",RLSP,RJD,Fully Dissatisfied,Fully Dissatisfied,42,Male,204,BC,4.200781364
121,5-24-2017,Rural,Graduate,"₹ 1,50,000 & above",RJD,RJD,Fully Satisfied,Fully Satisfied,23,Male,187,BC,0.891022347
122,5-24-2017,Rural,Graduate,"₹ 20,000 - ₹ 30,000",NOTA,Did not vote,Somewhat Satisfied,Fully Dissatisfied,58,Male,187,Gen,2.092566579
123,5-24-2017,Urban,Graduate,"₹ 10,000 - ₹ 20,000",RJD,INC,Somewhat Satisfied,Fully Dissatisfied,42,Male,182,BC,7.545889126
124,5-24-2017,Rural,Post - Graduation,"BPL/Below ₹ 5,000",JD(U),Others,Fully Satisfied,Somewhat Dissatisfied,24ko,Male,180,Gen,2.092566579
125,5-24-2017,Rural,Graduate,"₹ 30,000 - ₹ 50,000",AAP,BJP,Fully Dissatisfied,Fully Dissatisfied,20,Male,201,Gen,0.228626832
126,5-24-2017,Urban,Graduate,"₹ 20,000 - ₹ 30,000",BJP,BJP,Somewhat Dissatisfied,Can’t say,25,Male,181,Gen,0.226477425
127,5-24-2017,Urban,Graduate,"₹ 80,000 - ₹ 1,50,000",NOTA,BJP,Fully Dissatisfied,Fully Dissatisfied,56,Male,183,Gen,2.092566579
128,5-24-2017,Urban,Post - Graduation,"₹ 30,000 - ₹ 50,000",RJD,BJP,Fully Dissatisfied,Fully Dissatisfied,50,Male,200,Gen,1.91799178
129,5-24-2017,Rural,12th Pass,"₹ 1,50,000 & above",JD(U),JD(U),Fully Satisfied,Fully Satisfied,34,Male,171,BC,0.405707907
130,5-24-2017,Rural,Graduate,"₹ 50,000 - ₹ 80,000",RJD,JD(U),Somewhat Satisfied,Fully Dissatisfied,40,Male,176,BC,0.405707907
131,5-24-2017,Urban,12th Pass,"₹ 50,000 - ₹ 80,000",INC,Others,Fully Dissatisfied,Fully Dissatisfied,44,Male,186,Gen,0.960819301
132,5-24-2017,Rural,Post - Graduation,"BPL/Below ₹ 5,000",JD(U),JD(U),Somewhat Satisfied,Fully Dissatisfied,27,Male,199,BC,0.146350912
133,5-24-2017,Urban,Graduate,"₹ 5,000 - ₹ 10,000",NOTA,BJP,Somewhat Satisfied,Fully Satisfied,27,Male,182,Gen,0.275508747
134,5-24-2017,Rural,Graduate,"BPL/Below ₹ 5,000",BJP,BJP,Fully Dissatisfied,Fully Dissatisfied,25,Male,187,Gen,0.247091304
135,5-24-2017,Urban,Post - Graduation,"₹ 80,000 - ₹ 1,50,000",NOTA,BJP,Somewhat Satisfied,Fully Dissatisfied,35,Male,181,Gen,0.278123491
136,5-24-2017,Urban,Graduate,"₹ 80,000 - ₹ 1,50,000",BJP,BJP,Fully Dissatisfied,Fully Satisfied,42,Male,172,BC,1.337935162
137,5-24-2017,Rural,Professional Education,"₹ 50,000 - ₹ 80,000",INC,INC,Fully Dissatisfied,Fully Dissatisfied,30,Male,188,EBC,1.674089102
138,5-24-2017,Urban,Post - Graduation,"₹ 10,000 - ₹ 20,000",RJD,RJD,Fully Dissatisfied,Somewhat Satisfied,23,Male,194,BC,0.534617423
139,5-24-2017,Urban,12th Pass,"₹ 1,50,000 & above",JD(U),JD(U),Somewhat Satisfied,Somewhat Satisfied,40,Female,188,BC,0.192186871
140,5-24-2017,Rural,12th Pass,"₹ 10,000 - ₹ 20,000",BJP,BJP,Somewhat Dissatisfied,Fully Dissatisfied,35,Male,193,Gen,0.300585436
141,5-24-2017,Rural,Post - Graduation,"₹ 1,50,000 & above",BJP,BJP,Fully Dissatisfied,Fully Dissatisfied,27,Male,192,Gen,0.181241919
142,5-24-2017,Urban,Professional Education,"₹ 50,000 - ₹ 80,000",NOTA,BJP,Somewhat Satisfied,Somewhat Satisfied,50,Male,183,Gen,2.092566579
143,5-24-2017,Rural,Graduate,"₹ 80,000 - ₹ 1,50,000",BJP,JD(U),Fully Dissatisfied,Can’t say,28,Male,193,Gen,0.300585436
144,5-24-2017,Urban,10th Pass,"₹ 5,000 - ₹ 10,000",BJP,BJP,Fully Satisfied,Fully Dissatisfied,27,Male,194,Gen,0.164500297
145,5-24-2017,Urban,Professional Education,"₹ 30,000 - ₹ 50,000",NOTA,BJP,Somewhat Satisfied,Fully Dissatisfied,35,Male,186,BC,0.66506573
146,5-24-2017,Rural,Post - Graduation,"₹ 30,000 - ₹ 50,000",BJP,BJP,Somewhat Satisfied,Somewhat Dissatisfied,30,Male,190,Gen,0.275508747
147,5-24-2017,Rural,Graduate,"₹ 10,000 - ₹ 20,000",RJJP,BJP,Fully Dissatisfied,Fully Dissatisfied,27,Male,190,Gen,0.181241919
148,5-24-2017,Rural,12th Pass,"₹ 5,000 - ₹ 10,000",BJP,Did not vote,Somewhat Satisfied,Fully Dissatisfied,20,Male,211,BC,0.904591557
149,5-24-2017,Urban,Graduate,"BPL/Below ₹ 5,000",RJD,RJD,Fully Dissatisfied,Fully Dissatisfied,28,Male,213,BC,0.713058738
150,5-24-2017,Rural,12th Pass,"₹ 5,000 - ₹ 10,000",BJP,BJP,Somewhat Satisfied,Somewhat Satisfied,19,Male,210,Gen,0.226477425
151,5-24-2017,Urban,Graduate,"₹ 20,000 - ₹ 30,000",RJD,RJD,Somewhat Satisfied,Fully Dissatisfied,25,Male,181,BC,0.586158184
152,5-24-2017,Urban,Graduate,"₹ 5,000 - ₹ 10,000",RJD,NOTA,Somewhat Dissatisfied,Can’t say,23,Male,189,BC,0.326313087
153,5-24-2017,Rural,Graduate,"₹ 20,000 - ₹ 30,000",BJP,BJP,Somewhat Satisfied,Fully Dissatisfied,26,Male,193,Gen,0.300585436
154,5-24-2017,Rural,Graduate,"₹ 20,000 - ₹ 30,000",BJP,JD(U),Fully Dissatisfied,Can’t say,28,Male,196,Gen,0.300585436
155,5-24-2017,Rural,Graduate,"₹ 10,000 - ₹ 20,000",RJD,Did not vote,Fully Dissatisfied,Can’t say,21,Male,210,BC,0.586158184
156,5-24-2017,Rural,Post - Graduation,"₹ 1,50,000 & above",RJD,BJP,Fully Dissatisfied,Fully Dissatisfied,48,Male,203,Gen,1.593496088
157,5-24-2017,Rural,Post - Graduation,"₹ 80,000 - ₹ 1,50,000",Plurals,JD(U),Fully Dissatisfied,Fully Dissatisfied,25,Male,205,SC,2.097150425
158,5-24-2017,Rural,Graduate,"₹ 5,000 - ₹ 10,000",RJD,RJD,Somewhat Satisfied,Fully Satisfied,39,Male,198,Gen,0.819628971
159,5-24-2017,Urban,12th Pass,"₹ 30,000 - ₹ 50,000",Undecided,BJP,Somewhat Satisfied,Fully Dissatisfied,30,Male,181,Gen,0.300585436
160,5-24-2017,Rural,Graduate,"₹ 5,000 - ₹ 10,000",RJD,RJD,Fully Dissatisfied,Fully Dissatisfied,29,Male,196,Gen,0.275508747
161,5-24-2017,Urban,Professional Education,"₹ 50,000 - ₹ 80,000",BJP,BJP,Fully Satisfied,Fully Satisfied,45,Male,186,Gen,2.092566579
162,5-24-2017,Rural,Graduate,"₹ 10,000 - ₹ 20,000",BJP,Did not vote,Fully Dissatisfied,Somewhat Satisfied,20,Male,212,Gen,0.521611571
163,5-24-2017,Urban,Graduate,"₹ 1,50,000 & above",JD(U),JD(U),Fully Satisfied,Fully Satisfied,25,Male,181,Gen,0.247091304
164,5-24-2017,Rural,Graduate,"₹ 1,50,000 & above",JD(U),JD(U),Somewhat Satisfied,Somewhat Satisfied,27,Male,176,BC,0.405707907
165,5-24-2017,Urban,Post - Graduation,"₹ 10,000 - ₹ 20,000",BJP,BJP,Somewhat Satisfied,Somewhat Satisfied,25,Male,186,BC,0.379711796
166,5-24-2017,Urban,Post - Graduation,"₹ 10,000 - ₹ 20,000",BJP,BJP,Fully Dissatisfied,Somewhat Satisfied,43,Male,186,Gen,1.936194678
